"","x"
"78",1
"1550",1
"2213",1
"1765",3
"143",1
"644",2
"1502",1
"1619",1
"1462",1
"920",1
"1984",1
"1392",1
"1499",1
"1795",1
"443",3
"1457",1
"187",1
"344",2
"722",1
"223",1
"1010",1
"1366",3
"2100",3
"128",1
"972",3
"1326",1
"984",3
"1381",1
"1666",1
"58",1
"1776",1
"2157",1
"1614",2
"843",1
"1256",1
"1742",4
"879",1
"2012",1
"2171",2
"795",4
"1632",1
"985",1
"1150",2
"1460",1
"845",1
"260",1
"1587",3
"832",1
"882",1
"2385",1
"958",3
"213",3
"322",1
"873",4
"1198",1
"1072",3
"2363",3
"1277",1
"2210",1
"476",1
"137",4
"1147",3
"1578",1
"2238",1
"1391",1
"2266",2
"948",1
"2247",1
"1892",1
"987",1
"2017",1
"1505",1
"1555",3
"1934",1
"2228",1
"380",3
"1940",1
"1790",4
"1939",1
"1039",1
"745",1
"1134",2
"122",4
"2184",1
"1385",1
"1128",2
"1775",1
"1089",1
"194",1
"220",2
"1429",3
"1848",1
"1683",1
"328",1
"2292",1
"691",4
"932",1
"1376",1
"1148",1
"1451",1
"1181",2
"727",1
"630",1
"56",1
"1427",1
"1925",4
"507",1
"1484",3
"1535",1
"48",1
"1055",1
"1183",1
"461",3
"2168",1
"2274",1
"241",5
"1748",1
"854",1
"1667",4
"397",1
"100",1
"1938",1
"897",1
"990",4
"558",1
"92",1
"1508",1
"394",2
"699",4
"811",1
"301",1
"2167",1
"401",4
"1093",1
"1903",1
"446",2
"178",2
"1682",3
"2362",1
"868",1
"716",1
"1967",1
"299",1
"1800",1
"982",1
"1999",4
"375",1
"1195",1
"572",1
"858",2
"820",1
"1187",1
"57",1
"578",1
"1251",3
"655",1
"911",1
"1620",1
"1276",1
"85",2
"835",3
"1841",3
"939",2
"1766",1
"1206",1
"2148",2
"674",1
"577",1
"485",1
"186",1
"2111",1
"1651",4
"1554",1
"2088",1
"173",3
"2379",1
"1565",1
"1638",1
"132",2
"160",1
"2154",1
"696",2
"1131",1
"2082",1
"1745",1
"1029",1
"899",1
"459",1
"2299",1
"1629",1
"41",4
"1192",1
"441",3
"2396",1
"580",2
"2218",1
"1679",1
"994",1
"2087",1
"894",1
"815",4
"807",1
"451",1
"1194",1
"1634",1
"2055",1
"2133",1
"1258",1
"104",1
"1654",4
"206",1
"1971",1
"942",3
"1789",3
"2216",2
"226",2
"200",4
"232",1
"803",4
"192",1
"2215",1
"557",1
"11",3
"1708",1
"981",2
"289",1
"1639",1
"793",1
"2061",2
"2250",3
"602",4
"1125",1
"734",1
"2253",1
"157",3
"1141",1
"1014",2
"1179",4
"406",1
"1521",1
"1424",4
"2207",2
"516",1
"1157",4
"1770",2
"1710",1
"1472",3
"3",4
"1618",3
"1716",1
"2049",1
"1994",1
"2306",1
"1447",1
"64",2
"1602",1
"1574",1
"1992",1
"779",2
"1839",3
"4",1
"218",1
"2388",1
"484",1
"454",1
"1604",2
"857",3
"2026",1
"1356",1
"1952",1
"1077",2
"1290",1
"138",4
"2098",1
"827",1
"101",1
"1858",1
"1153",1
"1585",3
"1189",2
"1406",1
"1949",1
"660",3
"209",3
"1719",1
"509",2
"438",1
"584",1
"312",1
"2332",1
"235",3
"652",2
"1912",1
"1669",1
"692",1
"2197",1
"54",1
"1060",1
"335",4
"410",1
"1166",1
"2241",2
"2340",2
"573",1
"708",1
"152",1
"515",1
