q24r1,avg_q24r2r3,avg_q25r1r2r3,q26r3,q26r4,q26r5,X,clusterresults.cluster,numdata$q1
5,1,4.333333333,3,5,6,773,3,10
2,1.5,1,2,2,1,1756,2,2
1,1,3,1,2,3,525,2,3
1,1,1.666666667,2,3,3,1441,2,4
5,2,1,6,3,2,1306,1,4
3,2,2.666666667,3,2,3,2354,2,1
3,1,2.666666667,2,2,2,2150,2,2
1,1,2,2,2,2,330,2,2
4,3.5,3.666666667,1,3,5,834,3,11
3,1.5,1.666666667,2,4,3,1908,3,3
3,2.5,3,3,2,4,427,3,3
2,1.5,4,3,5,3,1542,3,5
3,1.5,2.666666667,2,3,6,1200,3,7
1,1,1,1,1,1,979,2,3
1,1.5,1.333333333,1,4,1,416,2,3
1,2,2.333333333,1,3,2,935,2,5
2,2,2.333333333,1,2,3,1513,2,4
1,1,1.666666667,2,2,1,2196,2,5
2,2,1.666666667,2,2,2,1242,2,2
4,2,3,2,5,5,1598,3,7
1,2.5,3.666666667,3,5,3,272,3,2
2,4,2.333333333,5,6,5,1783,3,9
3,3,2.666666667,2,3,5,1253,3,8
1,1,1,3,3,3,746,2,3
3,2.5,3.666666667,5,6,5,258,3,3
3,1,3.666666667,4,3,5,378,3,5
2,2,3,2,2,2,851,2,3
3,3.5,3,6,6,4,111,3,2
5,2.5,2,3,2,2,1188,1,2
2,1.5,3.333333333,2,3,5,554,3,2
3,2,3,2,3,3,532,3,6
1,1,1,3,3,3,784,2,4
3,1,2,4,2,2,791,2,4
5,2.5,4.333333333,4,4,6,1123,3,4
1,1,2.666666667,2,1,4,305,2,5
3,1,2,2,3,2,1897,2,5
3,1.5,2,2,4,2,1145,2,4
3,1.5,3.666666667,2,4,3,828,3,8
2,1,1.666666667,1,3,2,167,2,7
3,1,1.333333333,3,4,5,844,3,7
1,1,1.666666667,1,2,3,556,2,8
6,1,1.666666667,1,4,4,1668,1,4
4,1.5,2,1,3,4,247,1,2
3,4.5,2,3,3,3,1414,3,10
1,1,1,1,1,2,963,2,3
2,2.5,2.333333333,2,4,3,1976,3,3
5,1,3.333333333,3,3,2,2267,1,3
1,1,1,3,1,1,1792,2,3
5,4,4,1,1,6,347,1,8
1,1.5,1.666666667,1,2,1,2275,2,5
1,1,1,1,1,1,1120,2,4
4,2.5,2.666666667,3,3,3,326,1,3
6,1,3,1,3,3,1685,1,2
1,1,4,2,3,3,1827,2,5
1,1,2.666666667,3,1,4,919,2,4
5,2,3.333333333,2,3,4,275,1,7
3,1,3,2,3,1,1034,2,5
5,3,3.666666667,3,4,5,940,3,9
2,2.5,2.333333333,3,2,2,512,2,2
4,3,4,2,5,1,249,3,6
1,3.5,3.333333333,2,2,6,545,3,2
3,1.5,1.666666667,2,5,4,698,3,3
5,2.5,3.666666667,2,5,5,141,3,3
2,1,3.333333333,2,2,2,2080,2,7
1,1,2.333333333,1,1,3,294,2,5
3,2.5,2.666666667,3,3,2,439,3,3
2,1,1.333333333,1,2,1,390,2,8
5,4,1,1,1,2,332,1,8
1,1,3,1,1,5,1260,2,3
4,2,2.666666667,4,3,6,1510,3,8
4,2,3,3,3,3,960,1,7
4,1,3.666666667,2,3,2,1394,1,3
1,4,4.666666667,2,4,2,1336,3,9
3,1.5,2,1,5,5,1901,3,6
1,1,1.333333333,2,2,2,741,2,4
2,1.5,1.333333333,1,1,1,370,2,2
1,5,5,5,5,5,2014,3,3
1,1,1,1,2,1,1931,2,2
6,2.5,3.666666667,2,4,3,2368,1,2
3,1,1,1,2,3,1288,2,3
6,1,1,2,3,3,1750,1,5
3,1,1.666666667,1,4,2,1732,2,4
3,1,2.333333333,2,1,3,2296,2,4
3,3,2.666666667,2,1,4,6,2,2
2,1,1,3,3,3,2237,2,5
5,5.5,1.666666667,3,1,1,640,1,1
3,3,3,3,4,3,1323,3,3
2,2,2.333333333,1,3,4,508,2,9
3,2,3.333333333,3,2,3,106,3,3
2,2,2,2,4,2,502,2,7
3,3,3,1,6,4,2041,3,5
2,2.5,4,2,4,3,1176,3,6
