event_id,member_id
243524770,229380747
243524770,184847215
243336901,229380747
243336901,184847215
242958789,229380747
242730785,229380747
242575017,229380747
242575017,233661697
242363462,182574366
242363462,229380747
240769837,213231489
240769837,229380747
240769837,232659372
243488298,188670284
243488298,51565362
243488298,216446825
243488298,124406592
243488298,53677492
242926475,236505264
242926475,235162613
242926475,235170226
242926475,184684356
fpndtnywnbcc,230023795
fpndtnywnbwb,230023795
fpndtnywnbsb,230023795
fpndtnywnbnb,230023795
243396218,230023795
fpndtnywnbkb,230023795
fpndtnywnbfb,230023795
fpndtnywmbnc,230023795
fpndtnywmbjc,230023795
fpndtnywmbhc,231263460
fpndtnywmbhc,230023795
240964986,230023795
240964840,230023795
240964642,230023795
mxrcjnywkbgb,230023795
mxrcjnywkbgb,230042713
240919794,230023795
240919794,230042713
mxrcjnywjbkc,230023795
mxrcjnywjbkc,230042713
mxrcjnywjbbc,230023795
mxrcjnywjbbc,230042713
227267904,189146542
244073127,235689203
244073127,4579315
243626790,4579315
243626790,134837882
243627655,4579315
243627655,134837882
243635917,4579315
243635917,4883361
243560370,4579315
243560370,134837882
229367987,91626512
228826479,41099822
228826479,194619840
228826479,91626512
228372137,7898365
228372137,194619840
228372137,91626512
cfjfjlyvcbnc,91626512
228200220,91626512
cfjfjlyvcbvb,7898365
cfjfjlyvcbvb,91626512
227760340,194619840
227760340,91626512
cfjfjlytqbzb,7898365
cfjfjlytqbzb,91626512
cfjfjlytqbhb,194619840
cfjfjlytqbhb,91626512
226440187,41099822
226440187,194619840
226440187,91626512
cfjfjlytpbkb,41099822
cfjfjlytpbkb,194619840
cfjfjlytpbkb,91626512
238241648,121080112
235000790,121080112
240006875,201575990
240006875,221654701
238501010,221654701
243301208,236254773
243301208,183725046
243301208,184920661
237681964,186320543
234642222,186320543
242467613,237427415
242467613,236020975
242467613,80119952
242467613,227165725
hvbxpnywnbkb,80119952
hvbxpnywmbdb,230246750
hvbxpnywmbdb,80119952
241965014,80119952
243040831,231970248
243040831,234283796
243040831,10577493
243040831,230684071
243040831,225854465
243040831,236529781
242759624,234283796
242759624,230684071
242759624,225854465
242759624,215256873
242759624,234823258
240485098,50502232
240485098,190717209
240485098,220902665
238779646,188670284
238779646,80814272
238779646,89446912
238779646,132938082
238779646,50502232
238779646,190717209
238779646,220902665
244334721,205798116
244334721,4277271
244334721,198583489
244334721,2256087
241901625,170557622
241901625,191664156
241901625,2256087
240835965,89800802
240835965,4277271
240835965,198583489
240835965,2256087
240662909,191664156
240662909,2256087
239206676,4277271
239206676,31053182
239206676,2256087
238840255,4277271
238840255,2256087
238840255,109003802
238840255,10082923
233091851,145524752
233091851,198117708
233091851,6699278
232729387,145524752
232729387,106513552
242776081,191758521
237893575,6141229
sdcmnlyvkbqb,7964302
sdcmnlyvkbqb,117599352
sdcmnlyvjbsb,117599352
sdcmnlyvhbnb,117599352
sdcmnlyvgbqb,117599352
sdcmnlyvfblb,117599352
sdcmnlyvdbmb,13385553
sdcmnlyvdbmb,117599352
sdcmnlyvdbmb,117669402
sdcmnlyvcbqb,117599352
242102031,190170609
242102031,233746608
242102031,50979842
242102031,230751605
242102031,183422087
242102031,194474068
242102031,135932122
242102031,62850222
242102031,233659681
242102031,10119159
242102031,60040572
242102031,9486559
242102031,32159462
242102031,206545047
243305432,183592683
243305432,230684071
243305432,201955744
243556357,183592683
243556357,230684071
243024248,183592683
243024248,13273531
243024248,236072570
243024248,230684071
243024248,235492846
243024248,235402432
243024248,235674307
243682923,189158266
243682923,60410022
243682923,158907722
243682923,105002772
243682923,237187969
243589984,1124238
243589984,60195472
243589984,105002772
243589984,237187969
239610618,14561217
233793661,213270822
233793661,211050959
233793661,195789852
233793661,213053412
233793661,213376758
240532499,227549082
240532499,29969672
240532499,7268130
240532499,128674982
230469545,10310662
239678500,102802112
239678500,224348301
239678500,239605811
239678500,171095192
239678500,10006822
239678500,229251517
239678500,214224363
239678500,218394062
239676973,102802112
239676973,133440072
239676973,10006822
239676973,229251517
239676973,14488312
239676973,218394062
239676865,226903957
239676865,102802112
239676865,133440072
239676865,14201499
239676865,10006822
239676865,8304651
239676865,229251517
239676865,14488312
239676865,73676282
239676754,102802112
239676754,224348301
239676754,133440072
239676754,10006822
241553652,102802112
239265962,226903957
239265962,102802112
239265962,224348301
239265962,133440072
239265962,187294708
239265962,226325820
239265962,214224363
237994653,223695300
237994653,102802112
237994653,133440072
237994653,14201499
237994653,8304651
237994653,218394062
237961610,223695300
237961610,102802112
237961610,224348301
237961610,133440072
237961610,171095192
237961610,220560147
237961610,10006822
237961610,8304651
237961610,214224363
237961610,218394062
238580113,102802112
238580113,133440072
238580113,210903142
237674735,102802112
237674735,207279704
237674735,133440072
237674735,171095192
237674735,10006822
237674735,210903142
237674735,14488312
237674735,81924252
237674735,196136292
236777375,102802112
236777375,133440072
236777375,187294708
236777375,14488312
236777375,214224363
236777375,81924252
236777375,218394062
235699507,102802112
235699507,129560482
235699507,133440072
235699507,187294708
235699507,171095192
235699507,10006822
235699507,210903142
235699507,14488312
235699507,214224363
