Date,Order
2019-01-22,27187
2019-01-23,9702
2019-01-24,18337
2019-01-25,35231
2019-01-26,1367
2019-01-27,672
2019-01-28,19527
2019-01-29,9846
2019-01-30,17634
2019-01-31,20362
2019-02-01,18933
2019-02-02,57535
2019-02-03,210
2019-02-04,7327
2019-02-05,12633
2019-02-06,15473
2019-02-07,14461
2019-02-08,10447
2019-02-09,38063
2019-02-10,291
2019-02-11,22438
2019-02-12,19709
2019-02-13,12705
2019-02-14,8191
2019-02-15,9071
2019-02-16,28859
2019-02-17,486
2019-02-18,18156
2019-02-19,18775
2019-02-20,15809
2019-02-21,21591
2019-02-22,15503
2019-02-23,33934
2019-02-24,307
2019-02-25,19819
2019-02-26,24957
2019-02-27,28859
2019-02-28,12925
2019-03-01,11420
2019-03-02,33335
2019-03-03,1014
2019-03-04,11806
2019-03-05,29892
2019-03-06,35321
2019-03-07,15562
2019-03-08,15826
2019-03-09,54412
2019-03-10,529
2019-03-11,6277
2019-03-12,19848
2019-03-13,29542
2019-03-14,13978
2019-03-15,16049
2019-03-16,31693
2019-03-17,399
2019-03-18,14318
2019-03-19,21706
2019-03-20,19314
2019-03-21,14320
2019-03-22,13443
2019-03-23,34385
2019-03-24,410
2019-03-25,18081
2019-03-26,15232
2019-03-27,25387
2019-03-28,13832
2019-03-29,14174
2019-03-30,11077
2019-03-31,293
2019-04-01,28980
2019-04-02,20146
2019-04-03,13438
2019-04-04,15112
2019-04-05,12735
2019-04-06,16020
2019-04-07,759
2019-04-08,19141
2019-04-09,17391
2019-04-10,14545
2019-04-11,16801
2019-04-12,15264
2019-04-13,37252
2019-04-14,667
2019-04-15,20897
2019-04-16,15904
2019-04-17,15624
2019-04-18,18012
2019-04-19,16528
2019-04-20,34286
2019-04-21,769
2019-04-22,14576
2019-04-23,10536
2019-04-24,36730
2019-04-25,19788
2019-04-26,18625
2019-04-27,672
2019-04-28,938
2019-04-29,16929
2019-04-30,20557
2019-05-01,15262
2019-05-02,22261
2019-05-03,20871
2019-05-04,16869
2019-05-05,392
2019-05-06,13531
2019-05-07,17184
2019-05-08,15131
2019-05-09,15929
2019-05-10,13419
2019-05-11,17857
2019-05-12,245
2019-05-13,48345
2019-05-14,15357
2019-05-15,12247
2019-05-16,12769
2019-05-17,20894
2019-05-18,66949
2019-05-19,589
2019-05-20,14205
2019-05-21,17611
2019-05-22,23218
2019-05-23,17441
2019-05-24,23684
2019-05-25,30974
2019-05-26,777
2019-05-27,2420
2019-05-28,17103
2019-05-29,36134
2019-05-30,9699
2019-05-31,11042
2019-06-01,23494
2019-06-02,694
2019-06-03,10334
2019-06-04,28690
2019-06-05,17474
2019-06-06,11397
2019-06-07,17879
2019-06-08,33004
2019-06-09,305
2019-06-10,10013
2019-06-11,77812
2019-06-12,17740
2019-06-13,11612
2019-06-14,23699
2019-06-15,46358
2019-06-16,576
2019-06-17,48785
2019-06-18,14933
2019-06-19,24130
2019-06-20,16678
